Mods count: 493
 
jar name                                                                           | mod id (isMCreator)                          | mixin configs
    /META-INF/jars/TRender-1.0.5-1.20.1-forge-SNAPSHOT.jar                         | trender                                      | trender.mixins.json, trender.refmap.mixins.json
    /META-INF/jars/TRansition-1.0.3-1.20.1-forge-SNAPSHOT.jar                      | transition                                   | transition.mixins.json, transition.refmap.mixins.json
flerovium-forge-1.20.1-1.2.15-all.jar                                              | flerovium                                    | flerovium.mixins.json
footprintparticle-0.5.3-mc1.20.jar                                                 | footprintparticle                            | forge-footprintparticle.mixins.json, fabric-footprintparticle.mixins.json
forge-medievalend-1.0.1.jar                                                        | medievalend                                  | mixins.medievalend.json, mixins.medievalend.refmap.json
ForgeEndertech-1.20.1-11.1.7.0-build.1348.jar                                      | forgeendertech                               | 
forgivingvoid-forge-1.20-10.0.1.jar                                                | forgivingvoid                                | forgivingvoid.mixins.json
formations-1.0.4-forge-mc1.20.2.jar                                                | formations                                   | formations.mixins.refmap.json, formations.mixins.json
formationsnether-1.0.5.jar                                                         | formationsnether                             | formationsnether.mixins.json
formationsoverworld-1.0.5-mc1.20.jar                                               | formationsoverworld                          | formationsoverworld.mixins.json
framework-forge-1.20.1-0.7.15.jar                                                  | framework                                    | 
friendsandfoes-forge-mc1.20.1-3.0.9.jar                                            | friendsandfoes                               | friendsandfoes-common.mixins.json, friendsandfoes-forge.mixins.json
ftb-library-forge-2001.2.9.jar                                                     | ftblibrary                                   | ftblibrary-common.mixins.json
ftb-quests-forge-2001.4.13.jar                                                     | ftbquests                                    | 
ftb-teams-forge-2001.3.1.jar                                                       | ftbteams                                     | 
ftb-xmod-compat-forge-2.1.3.jar                                                    | ftbxmodcompat                                | 
fuelgoeshere-1.20.0-1.0.1.jar                                                      | fuelgoeshere                                 | fuelgoeshere.mixin.json
fzzy_config-0.7.1+1.20.1+forge.jar                                                 | fzzy_config                                  | 
    /META-INF/jars/jankson-1.2.3.jar                                               |                                              | 
    /META-INF/jars/tomlkt-jvm-0.3.7.jar                                            |                                              | 
Galosphere-1.20.1-1.4.1-Forge.jar                                                  | galosphere                                   | galosphere.mixins.json
GatewaysToEternity-1.20.1-4.2.6.jar                                                | gateways                                     | gateways.mixins.json
geckolib-forge-1.20.1-4.7.3.jar                                                    | geckolib                                     | geckolib.mixins.json
